fecha,tmed,tmed_1,tmed_2,tmed_3,tmin_1,tmin_2,tmin_3,tmax_1,tmax_2,tmax_3
2018-01-04,11.8,11.2,10.4,6.9,6.8,6.3,1.7,15.5,14.6,12.1
2018-01-05,7.8,11.8,11.2,10.4,7.9,6.8,6.3,15.6,15.5,14.6
2018-01-06,3.3,7.8,11.8,11.2,5.2,7.9,6.8,10.4,15.6,15.5
2018-01-07,1.8,3.3,7.8,11.8,1.3,5.2,7.9,5.3,10.4,15.6
2018-01-08,3.9,1.8,3.3,7.8,-0.1,1.3,5.2,3.8,5.3,10.4
2018-01-09,0.6,3.9,1.8,3.3,-1.0,-0.1,1.3,8.8,3.8,5.3
2018-01-10,3.8,0.6,3.9,1.8,-2.7,-1.0,-0.1,4.0,8.8,3.8
2018-01-11,5.7,3.8,0.6,3.9,1.1,-2.7,-1.0,6.6,4.0,8.8
2018-01-12,3.6,5.7,3.8,0.6,1.6,1.1,-2.7,9.8,6.6,4.0
2018-01-13,2.2,3.6,5.7,3.8,-1.9,1.6,1.1,9.0,9.8,6.6
2018-01-14,3.8,2.2,3.6,5.7,-0.5,-1.9,1.6,4.9,9.0,9.8
2018-01-15,3.4,3.8,2.2,3.6,0.1,-0.5,-1.9,7.4,4.9,9.0
2018-01-18,7.0,3.4,3.8,2.2,-2.7,0.1,-0.5,9.5,7.4,4.9
2018-01-19,7.6,7.0,3.4,3.8,-0.9,-2.7,0.1,15.0,9.5,7.4
2018-01-20,8.1,7.6,7.0,3.4,-0.2,-0.9,-2.7,15.4,15.0,9.5
2018-01-21,11.4,8.1,7.6,7.0,2.6,-0.2,-0.9,13.6,15.4,15.0
2018-01-24,8.0,11.4,8.1,7.6,4.4,2.6,-0.2,18.3,13.6,15.4
2018-01-25,4.6,8.0,11.4,8.1,0.1,4.4,2.6,15.8,18.3,13.6
2018-01-26,6.0,4.6,8.0,11.4,1.4,0.1,4.4,7.8,15.8,18.3
2018-01-27,6.8,6.0,4.6,8.0,1.4,1.4,0.1,10.5,7.8,15.8
2018-01-28,8.2,6.8,6.0,4.6,1.8,1.4,1.4,11.7,10.5,7.8
2018-01-29,8.3,8.2,6.8,6.0,2.3,1.8,1.4,14.1,11.7,10.5
2018-01-30,6.4,8.3,8.2,6.8,2.3,2.3,1.8,14.3,14.1,11.7
2018-01-31,6.4,6.4,8.3,8.2,-0.9,2.3,2.3,13.6,14.3,14.1
2018-02-01,6.0,6.4,6.4,8.3,-1.7,-0.9,2.3,14.5,13.6,14.3
2018-02-02,3.5,6.0,6.4,6.4,0.4,-1.7,-0.9,11.7,14.5,13.6
2018-02-03,5.2,3.5,6.0,6.4,-2.0,0.4,-1.7,9.0,11.7,14.5
2018-02-04,3.0,5.2,3.5,6.0,-1.6,-2.0,0.4,11.9,9.0,11.7
2018-02-05,1.6,3.0,5.2,3.5,0.8,-1.6,-2.0,5.3,11.9,9.0
2018-02-06,3.4,1.6,3.0,5.2,0.6,0.8,-1.6,2.6,5.3,11.9
2018-02-07,1.5,3.4,1.6,3.0,-0.6,0.6,0.8,7.5,2.6,5.3
2018-02-08,1.5,1.5,3.4,1.6,-3.8,-0.6,0.6,6.8,7.5,2.6
2018-02-09,2.2,1.5,1.5,3.4,-5.0,-3.8,-0.6,8.0,6.8,7.5
2018-02-10,5.2,2.2,1.5,1.5,-4.6,-5.0,-3.8,9.0,8.0,6.8
2018-02-11,7.1,5.2,2.2,1.5,-0.9,-4.6,-5.0,11.2,9.0,8.0
2018-02-12,5.2,7.1,5.2,2.2,-1.0,-0.9,-4.6,15.2,11.2,9.0
2018-02-13,3.8,5.2,7.1,5.2,0.3,-1.0,-0.9,10.2,15.2,11.2
2018-02-14,8.2,3.8,5.2,7.1,-1.8,0.3,-1.0,9.3,10.2,15.2
2018-02-15,7.8,8.2,3.8,5.2,5.6,-1.8,0.3,10.7,9.3,10.2
2018-02-16,11.0,7.8,8.2,3.8,5.0,5.6,-1.8,10.6,10.7,9.3
2018-02-17,10.0,11.0,7.8,8.2,6.5,5.0,5.6,15.5,10.6,10.7
2018-02-18,6.4,10.0,11.0,7.8,5.6,6.5,5.0,14.5,15.5,10.6
2018-02-19,9.8,6.4,10.0,11.0,-1.2,5.6,6.5,13.9,14.5,15.5
2018-02-20,9.4,9.8,6.4,10.0,4.0,-1.2,5.6,15.6,13.9,14.5
2018-02-21,7.0,9.4,9.8,6.4,3.4,4.0,-1.2,15.4,15.6,13.9
2018-02-22,4.2,7.0,9.4,9.8,1.5,3.4,4.0,12.4,15.4,15.6
2018-02-23,2.7,4.2,7.0,9.4,-3.4,1.5,3.4,11.8,12.4,15.4
2018-02-24,3.6,2.7,4.2,7.0,-5.4,-3.4,1.5,10.8,11.8,12.4
2018-02-25,5.6,3.6,2.7,4.2,-4.8,-5.4,-3.4,12.1,10.8,11.8
2018-02-26,7.5,5.6,3.6,2.7,-3.9,-4.8,-5.4,15.1,12.1,10.8
2018-02-27,3.6,7.5,5.6,3.6,-2.2,-3.9,-4.8,17.2,15.1,12.1
2018-02-28,7.8,3.6,7.5,5.6,1.9,-2.2,-3.9,5.2,17.2,15.1
2018-03-01,8.0,7.8,3.6,7.5,3.5,1.9,-2.2,12.0,5.2,17.2
2018-03-02,5.5,8.0,7.8,3.6,4.7,3.5,1.9,11.3,12.0,5.2
2018-03-03,9.0,5.5,8.0,7.8,3.0,4.7,3.5,8.0,11.3,12.0
2018-03-04,9.4,9.0,5.5,8.0,5.2,3.0,4.7,12.7,8.0,11.3
2018-03-05,7.0,9.4,9.0,5.5,5.0,5.2,3.0,13.7,12.7,8.0
2018-03-06,7.4,7.0,9.4,9.0,5.1,5.0,5.2,8.9,13.7,12.7
2018-03-07,6.5,7.4,7.0,9.4,3.4,5.1,5.0,11.4,8.9,13.7
2018-03-08,7.9,6.5,7.4,7.0,1.3,3.4,5.1,11.7,11.4,8.9
2018-03-09,10.2,7.9,6.5,7.4,4.6,1.3,3.4,11.2,11.7,11.4
2018-03-10,9.6,10.2,7.9,6.5,9.0,4.6,1.3,11.4,11.2,11.7
2018-03-11,8.4,9.6,10.2,7.9,7.0,9.0,4.6,12.3,11.4,11.2
2018-03-12,10.2,8.4,9.6,10.2,5.6,7.0,9.0,11.1,12.3,11.4
2018-03-13,10.5,10.2,8.4,9.6,6.2,5.6,7.0,14.1,11.1,12.3
2018-03-14,9.0,10.5,10.2,8.4,6.4,6.2,5.6,14.6,14.1,11.1
2018-03-15,9.1,9.0,10.5,10.2,5.8,6.4,6.2,12.3,14.6,14.1
2018-03-16,8.2,9.1,9.0,10.5,5.6,5.8,6.4,12.6,12.3,14.6
2018-03-17,6.4,8.2,9.1,9.0,4.6,5.6,5.8,11.8,12.6,12.3
2018-03-18,8.6,6.4,8.2,9.1,2.0,4.6,5.6,10.8,11.8,12.6
2018-03-19,6.2,8.6,6.4,8.2,3.0,2.0,4.6,14.1,10.8,11.8
2018-03-20,6.1,6.2,8.6,6.4,2.5,3.0,2.0,9.9,14.1,10.8
2018-03-21,7.1,6.1,6.2,8.6,1.9,2.5,3.0,10.3,9.9,14.1
2018-03-22,5.4,7.1,6.1,6.2,1.1,1.9,2.5,13.1,10.3,9.9
2018-03-23,8.4,5.4,7.1,6.1,-2.6,1.1,1.9,13.5,13.1,10.3
2018-03-24,7.6,8.4,5.4,7.1,2.6,-2.6,1.1,14.3,13.5,13.1
2018-03-25,8.6,7.6,8.4,5.4,3.4,2.6,-2.6,11.7,14.3,13.5
2018-03-26,9.2,8.6,7.6,8.4,4.4,3.4,2.6,12.7,11.7,14.3
2018-03-27,14.2,9.2,8.6,7.6,2.4,4.4,3.4,16.1,12.7,11.7
2018-03-28,14.2,14.2,9.2,8.6,6.7,2.4,4.4,21.6,16.1,12.7
2018-03-29,11.3,14.2,14.2,9.2,7.4,6.7,2.4,21.0,21.6,16.1
2018-03-30,7.7,11.3,14.2,14.2,7.3,7.4,6.7,15.3,21.0,21.6
2018-03-31,8.8,7.7,11.3,14.2,3.4,7.3,7.4,12.0,15.3,21.0
2018-04-01,9.8,8.8,7.7,11.3,2.5,3.4,7.3,15.0,12.0,15.3
2018-04-02,13.2,9.8,8.8,7.7,2.6,2.5,3.4,17.1,15.0,12.0
2018-04-03,11.8,13.2,9.8,8.8,7.1,2.6,2.5,19.4,17.1,15.0
2018-04-04,11.2,11.8,13.2,9.8,7.6,7.1,2.6,15.9,19.4,17.1
2018-04-05,10.6,11.2,11.8,13.2,6.4,7.6,7.1,15.9,15.9,19.4
2018-04-06,12.2,10.6,11.2,11.8,3.0,6.4,7.6,18.3,15.9,15.9
2018-04-07,8.8,12.2,10.6,11.2,7.3,3.0,6.4,17.0,18.3,15.9
2018-04-08,10.4,8.8,12.2,10.6,6.1,7.3,3.0,11.4,17.0,18.3
2018-04-09,6.1,10.4,8.8,12.2,4.9,6.1,7.3,15.9,11.4,17.0
2018-04-10,4.8,6.1,10.4,8.8,3.6,4.9,6.1,8.6,15.9,11.4
